experiment,learning_rate,hidden_size,activation,train_loss,test_loss,train_accuracy,test_accuracy,gradient_norm,update_norm
larger_network,0.08,18,tanh,0.21009753804364598,0.2345339607133149,0.9142857142857143,0.9028571428571428,0.03312785407776817,0.0022651415320949025
relu_balanced,0.04,10,relu,0.26972742092817126,0.2884768206790129,0.8838095238095238,0.88,0.041365098301435296,0.0010599917163085643
lr_too_large,50.0,10,tanh,0.06982457402230992,0.17570949071984912,0.9923809523809524,0.9828571428571429,0.0036155492548512734,0.17974813887089972
small_network,0.08,3,tanh,0.25462414210506273,0.28024317292182965,0.8838095238095238,0.8914285714285715,0.00652622682800858,0.000515202149417425
lr_balanced,0.08,10,tanh,0.1924187987785689,0.20684756322107825,0.9180952380952381,0.9028571428571428,0.03381132037739454,0.00244412731444815
lr_too_small,0.005,10,tanh,0.38815598041014926,0.4058705663199997,0.819047619047619,0.8171428571428572,0.15148738777569096,0.0007465629593724803
